element,second_name,total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded
1,Mustafi,26,0,2,620,2,9
2,Bellerín,25,1,0,623,2,10
3,Kolasinac,35,0,2,1103,2,19
4,Maitland-Niles,36,0,2,1210,3,19
5,Papastathopoulos,57,2,0,1696,4,25
6,Monreal,10,0,0,270,1,4
7,Koscielny,0,0,0,0,0,0
8,Mavropanos,0,0,0,0,0,0
9,Jenkinson,0,0,0,0,0,0
10,Holding,2,0,0,85,0,3
11,Aubameyang,152,17,3,2303,7,33
12,Lacazette,78,7,4,1311,3,18
13,Nketiah,12,1,0,249,1,3
14,Leno,108,0,0,2520,7,36
15,Özil,53,1,3,1439,5,20
16,Mkhitaryan,4,0,0,110,1,0
18,Xhaka,47,0,1,1904,7,25
19,Torreira,44,1,1,1365,3,20
20,Elneny,0,0,0,0,0,0
21,Guendouzi,44,0,2,1588,3,27
106,Luiz Moreira Marinho,79,2,1,2185,6,32
427,Martínez,0,0,0,0,0,0
467,Chambers,42,1,1,1102,3,15
469,Ceballos Fernández,35,0,2,905,3,12
486,Soares,43,0,1,1306,3,18
488,Pépé,88,4,6,1587,4,25
489,Nelson,19,0,1,458,2,4
490,Willock,23,0,0,573,1,11
504,Martinelli Silva,39,3,1,656,2,9
515,Tierney,5,0,0,296,0,6
541,Saka,43,0,4,1172,4,11
576,Smith Rowe,4,0,0,96,1,0
585,John-Jules,0,0,0,0,0,0
617,Marí,7,0,0,90,1,0
22,El Mohamady,20,0,1,763,1,26
23,Chester,0,0,0,0,0,0
24,Taylor,17,0,0,793,2,19
25,Hause,15,0,0,990,1,24
26,Kodjia,5,0,0,111,0,6
27,Nyland,3,0,0,177,0,8
28,Hourihane,52,3,2,940,2,26
29,Grealish,118,7,7,2333,4,52
30,El Ghazi,79,4,5,1673,4,40
31,McGinn,61,3,2,1537,3,30
32,Green,0,0,0,0,0,0
33,Bjarnason,0,0,0,0,0,0
34,Davis,11,0,1,129,0,3
35,Lansbury,11,0,0,189,0,6
36,Peleteiro Romallo,15,0,1,310,2,4
94,Heaton,59,0,0,1794,4,35
120,Drinkwater,6,0,0,317,0,11
309,Targett,60,1,3,1688,3,35
428,Moraes,67,5,1,1782,6,31
429,Steer,1,0,0,7,0,0
445,Mings,56,2,1,2002,3,42
452,Konsa Ngoyo,30,0,2,1198,2,29
455,Engels,42,1,0,1446,3,32
458,Guilbert,48,0,2,1898,4,36
465,Ibrahim Hassan,58,3,2,1315,3,23
470,Soares de Paulo,71,3,2,1711,5,40
474,Kalinic,0,0,0,0,0,0
491,Nakamba,35,0,0,1626,1,35
600,Vassilev,2,0,0,36,0,0
603,Reina,19,0,0,540,0,13
613,Samatta,14,1,0,352,0,10
623,González Tomás,2,0,0,16,0,2
58,Cook,46,1,0,1848,3,36
59,Aké,67,2,1,2014,3,33
60,Daniels,3,0,0,126,0,2
61,Mepham,26,1,0,901,1,19
62,Francis,16,0,0,964,1,21
63,Smith,39,0,1,1557,3,27
64,Kelly,0,0,0,0,0,0
65,Rico,61,0,3,1793,5,27
66,Simpson,4,0,0,238,0,6
67,Wilson,95,8,3,2346,3,46
68,King,69,4,3,1461,3,22
69,Solanke,41,0,2,1176,1,25
71,Surridge,1,0,0,15,0,1
72,Begovic,0,0,0,0,0,0
73,Boruc,0,0,0,0,0,0
74,Travers,1,0,0,90,0,3
75,Fraser,73,1,5,2061,4,34
76,Brooks,0,0,0,0,0,0
77,Stanislas,8,0,0,221,0,7
78,Ibe,2,0,0,48,0,1
79,Cook,32,0,1,1000,2,19
80,Surman,6,0,0,234,0,6
81,Gosling,39,2,1,878,1,16
82,Lerma,48,1,2,1942,3,33
446,Stacey,30,0,2,1066,1,19
476,Billing,60,1,1,2162,5,36
492,Danjuma Groeneveld,18,0,1,405,2,6
494,Ramsdale,96,0,1,2520,4,44
505,Wilson,84,7,1,1432,2,28
564,Saydee,0,0,0,0,0,0
565,Kilkenny,0,0,0,0,0,0
574,Dobre,0,0,0,0,0,0
37,Duffy,36,1,0,1071,2,15
38,Montoya,60,0,1,1703,6,25
39,Fernandes da Silva Junior,18,0,0,541,1,12
40,Balogun,0,0,0,0,0,0
41,Bong,3,0,0,57,0,3
42,Dunk,90,2,3,2430,6,36
43,Clarke,0,0,0,0,0,0
44,Murray,29,1,0,701,2,10
45,Locadia,3,0,0,85,1,1
46,Andone,5,1,0,71,0,2
47,Ryan,102,0,0,2610,6,40
48,Button,0,0,0,0,0,0
49,Groß,69,2,5,1485,3,25
50,Jahanbakhsh,26,2,1,284,1,3
51,Izquierdo Mena,0,0,0,0,0,0
52,Knockaert,0,0,0,0,0,0
53,Bissouma,19,0,0,663,2,7
54,Pröpper,64,1,2,2340,5,36
55,March,30,0,1,880,4,12
56,Kayal,0,0,0,0,0,0
57,Stephens,48,0,1,1940,4,33
421,Trossard,75,3,5,1438,2,24
475,Burn,57,0,0,2147,6,32
493,Webster,69,3,1,2015,3,33
502,Maupay,101,8,2,2109,6,28
516,Mooy,64,2,1,1651,4,26
534,Connolly,41,2,2,827,3,13
536,Baluta,0,0,0,0,0,0
537,Alzate,33,0,0,1181,3,18
546,Schelotto,7,0,0,287,0,6
586,Lamptey,1,0,0,31,0,0
627,Mac Allister,1,0,0,10,0,0
83,Mee,87,0,2,2610,11,40
84,Tarkowski,101,1,2,2610,11,40
85,Lowton,41,0,1,1350,5,26
86,Bardsley,48,0,1,1260,6,14
87,Taylor,55,0,0,1375,7,11
88,Long,1,0,0,2,0,0
89,Gibson,0,0,0,0,0,0
90,Barnes,61,6,0,1350,8,21
91,Wood,109,11,1,2061,10,28
92,Vydra,26,2,1,328,2,1
93,Pope,128,0,0,2610,11,40
95,Hart,0,0,0,0,0,0
96,Gudmundsson,20,1,0,398,3,4
97,McNeil,99,2,6,2529,12,38
98,Brady,29,1,2,395,1,10
